PAGE,ALG_GUB,FREQ_YN,FREQ_PARA,TRAIN_EPOCH,TRAINING_DAY_CNT,MAPE,SMAPE,MDAPE,ADJ_MAPE,REV_MAPE,MASE,CORRELATION,MAPE_ARIMA,SMAPE_ARIMA,MDAPE_ARIMA,ADJ_MAPE_ARIMA,REV_MAPE_ARIMA,MASE_ARIMA,CORRELATION_ARIMA,TRAINING_START,TRAINING_END,PELT,RUN_TIME,LOSS_PLOT_FILE
Spezial:Weblinksuche_de.wikipedia.org_all-access_all-agents,SCINet,0,,33,541,52.14369854828256,18.40601345118574,37.77820968998172,52.14369854828256,30.359441528350988,1.5497331718018037,-0.04429864872533905,32.29378112349518,12.872826469528082,21.75647684926341,32.29378112349518,22.063356649640152,0.9409539028713578,0.20552858814819483,2016-07-09,2017-07-08,False,205,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Weblinksuche_de.wikipedia.org_all-access_all-agents(20160709_20170708).png
Spezial:Weblinksuche_de.wikipedia.org_desktop_all-agents,SCINet,0,,33,541,52.15750264717415,18.409910207875907,37.737126304355684,52.15750264717415,30.36407916601671,1.5501726556409219,-0.04464872919887335,32.293541032024045,12.872692953678403,21.756209336366787,32.293541032024045,22.063050446538465,0.9409557323070504,0.20555209110488878,2016-07-09,2017-07-08,False,201,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Weblinksuche_de.wikipedia.org_desktop_all-agents(20160709_20170708).png
Google_en.wikipedia.org_all-access_all-agents,SCINet,0,,58,321,inf,98.84810569468694,638.77708136054,6917.974169973756,inf,486.40297762270245,0.3329379534477563,inf,30.884909938152916,89.11471112534754,86.80986830480423,46.48585327260849,5.824939979498219,0.0887270654074179,2016-10-27,2017-07-08,True,87,TrainLossPlot/SCINet/SCINet_Loss_Google_en.wikipedia.org_all-access_all-agents(20161027_20170708).png
Spezial:Anmelden_de.wikipedia.org_all-access_all-agents,SCINet,0,,30,541,169.52340330884283,38.11468190241958,125.01440496629104,169.52340330884283,56.37696023607533,1.9709861002449331,-0.049661729789202504,111.10412964724449,32.93275064092512,86.1961496785162,111.10412964724449,56.56111685328025,1.4688883979437142,0.10266230960894293,2016-07-09,2017-07-08,False,129,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Anmelden_de.wikipedia.org_all-access_all-agents(20160709_20170708).png
Special:RecentChangesLinked_en.wikipedia.org_all-access_all-agents,SCINet,0,,100,541,63.83750476082437,46.22052337164042,65.34146421161151,63.83750476082437,inf,2.2149579793886143,0.5129911139567526,28.838470450304253,13.546208997042328,19.17679217877356,28.838470450304253,29.146016179574,1.0771068564072717,0.6393559047502372,2016-07-09,2017-07-08,False,287,TrainLossPlot/SCINet/SCINet_Loss_Special_RecentChangesLinked_en.wikipedia.org_all-access_all-agents(20160709_20170708).png
Spezial:Buch_de.wikipedia.org_all-access_all-agents,SCINet,0,,100,151,167.71921824110078,47.36557410835953,100.0,167.71921824110078,inf,6.054097755157186,-0.0621892999023195,118.15128686548096,32.01260051791767,103.96041060239516,118.15128686548096,45.42454030285089,3.750447971413988,0.1668400520778071,2017-02-08,2017-07-08,True,17,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Buch_de.wikipedia.org_all-access_all-agents(20170208_20170708).png
Spezial:Buch_de.wikipedia.org_desktop_all-agents,SCINet,0,,100,151,168.16858821731952,47.44071428137964,100.0,168.16858821731952,inf,6.066015766748065,-0.061851419756276005,118.51034147630688,32.081241551627556,104.02091552798555,118.51034147630688,45.51188908274071,3.7605393688511857,0.16672970497031545,2017-02-08,2017-07-08,True,16,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Buch_de.wikipedia.org_desktop_all-agents(20170208_20170708).png
Game_of_Thrones_en.wikipedia.org_all-access_all-agents,SCINet,0,,30,201,69.81751588277261,55.20346013918709,69.45223138534162,69.81751588277261,354.64868705939006,1.604010719825651,0.11845501808930722,51.622887441077026,37.5304806080726,49.961778477055844,51.622887441077026,185.1644091768705,1.334117655012626,-0.08031713616240178,2016-12-26,2017-07-08,True,56,TrainLossPlot/SCINet/SCINet_Loss_Game_of_Thrones_en.wikipedia.org_all-access_all-agents(20161226_20170708).png
Spezial:Anmelden_de.wikipedia.org_desktop_all-agents,SCINet,0,,30,541,201.67274848885165,41.2675028930088,140.40959143520803,201.67274848885165,60.1384350356721,2.2818018371318307,-0.06505013981764218,130.82063716501168,36.12569608683476,107.05638208526635,130.82063716501168,60.6743027738459,1.6869514502229122,0.11389885155622143,2016-07-09,2017-07-08,False,129,TrainLossPlot/SCINet/SCINet_Loss_Spezial_Anmelden_de.wikipedia.org_desktop_all-agents(20160709_20170708).png
Special:RecentChangesLinked_en.wikipedia.org_desktop_all-agents,SCINet,0,,37,541,57.554914276840265,40.401094489711085,52.35913661665232,57.554914276840265,inf,2.5104551110225066,-0.025542465358927107,32.97343684984945,13.990872967012425,23.924515073513458,32.97343684984945,26.45445460310445,1.1600249379707175,0.6730956762238274,2016-07-09,2017-07-08,False,151,TrainLossPlot/SCINet/SCINet_Loss_Special_RecentChangesLinked_en.wikipedia.org_desktop_all-agents(20160709_20170708).png
